영역,진입 HTML ID,버튼명,판정,뷰어 URL,앱 진입 경로,이동 경로,경로가 정확히 일치하는 기존 HTML ID,관찰된 옵션,비고,재현 컨트롤 키
AI에게 묻기,ai-empty,세계시간 열기,공통 메뉴 후보 / 개별 결과 동일성 미검증,https://devdev-e6t.pages.dev/html/erp/?page=ai-empty,/erp/ai,,,,대표 공통 메뉴는 존재하나 이 조작과 동일한 결과인지는 이번 검사에서 확인하지 않음,BUTTON|세계시간 열기||1
AI에게 묻기,ai-empty,더보기,공통 메뉴 후보 / 개별 결과 동일성 미검증,https://devdev-e6t.pages.dev/html/erp/?page=ai-empty,/erp/ai,,,,대표 공통 메뉴는 존재하나 이 조작과 동일한 결과인지는 이번 검사에서 확인하지 않음,BUTTON|더보기||1
영업 성과,sales-sgd,세계시간 열기,공통 메뉴 후보 / 개별 결과 동일성 미검증,https://devdev-e6t.pages.dev/html/erp/?page=sales-sgd,/erp/sales,,,,대표 공통 메뉴는 존재하나 이 조작과 동일한 결과인지는 이번 검사에서 확인하지 않음,BUTTON|세계시간 열기||1
영업 성과,sales-sgd,더보기,공통 메뉴 후보 / 개별 결과 동일성 미검증,https://devdev-e6t.pages.dev/html/erp/?page=sales-sgd,/erp/sales,,,,대표 공통 메뉴는 존재하나 이 조작과 동일한 결과인지는 이번 검사에서 확인하지 않음,BUTTON|더보기||1
오늘 할 일,home-empty,세계시간 열기,공통 메뉴 후보 / 개별 결과 동일성 미검증,https://devdev-e6t.pages.dev/html/erp/?page=home-empty,/erp/home?state=empty,,,,대표 공통 메뉴는 존재하나 이 조작과 동일한 결과인지는 이번 검사에서 확인하지 않음,BUTTON|세계시간 열기||1
오늘 할 일,home-empty,더보기,공통 메뉴 후보 / 개별 결과 동일성 미검증,https://devdev-e6t.pages.dev/html/erp/?page=home-empty,/erp/home?state=empty,,,,대표 공통 메뉴는 존재하나 이 조작과 동일한 결과인지는 이번 검사에서 확인하지 않음,BUTTON|더보기||1
오늘 할 일,home-empty,오늘 처리 너비 조절,확대·배치 등 / 이번 클릭 검사 제외,https://devdev-e6t.pages.dev/html/erp/?page=home-empty,/erp/home?state=empty,,,,"화면 배치·확대 조작, 별도 업무 결과 화면 아님",BUTTON|오늘 처리 너비 조절||1
오늘 할 일,home-empty,문서 너비 조절,확대·배치 등 / 이번 클릭 검사 제외,https://devdev-e6t.pages.dev/html/erp/?page=home-empty,/erp/home?state=empty,,,,"화면 배치·확대 조작, 별도 업무 결과 화면 아님",BUTTON|문서 너비 조절||1
오늘 할 일,home-empty,정산·현금 너비 조절,확대·배치 등 / 이번 클릭 검사 제외,https://devdev-e6t.pages.dev/html/erp/?page=home-empty,/erp/home?state=empty,,,,"화면 배치·확대 조작, 별도 업무 결과 화면 아님",BUTTON|정산·현금 너비 조절||1
오늘 할 일,home-empty,일정 너비 조절,확대·배치 등 / 이번 클릭 검사 제외,https://devdev-e6t.pages.dev/html/erp/?page=home-empty,/erp/home?state=empty,,,,"화면 배치·확대 조작, 별도 업무 결과 화면 아님",BUTTON|일정 너비 조절||1
오늘 할 일,home-empty,선적 너비 조절,확대·배치 등 / 이번 클릭 검사 제외,https://devdev-e6t.pages.dev/html/erp/?page=home-empty,/erp/home?state=empty,,,,"화면 배치·확대 조작, 별도 업무 결과 화면 아님",BUTTON|선적 너비 조절||1
오늘 할 일,home-empty,업무 현황 너비 조절,확대·배치 등 / 이번 클릭 검사 제외,https://devdev-e6t.pages.dev/html/erp/?page=home-empty,/erp/home?state=empty,,,,"화면 배치·확대 조작, 별도 업무 결과 화면 아님",BUTTON|업무 현황 너비 조절||1
AI에게 묻기,ai-action-03,세계시간 보기,공통 메뉴 후보 / 개별 결과 동일성 미검증,https://devdev-e6t.pages.dev/html/erp/?page=ai-action-03,/erp/ai,,,,대표 공통 메뉴는 존재하나 이 조작과 동일한 결과인지는 이번 검사에서 확인하지 않음,BUTTON|세계시간 보기||1
AI에게 묻기,ai-action-03,현재 화면 새로고침,파일·계정·발송 등 / 이번 클릭 검사 제외,https://devdev-e6t.pages.dev/html/erp/?page=ai-action-03,/erp/ai,,,,"파일·브라우저·계정·발송 조작: 별도 상태 누락 여부와 분리, 실행 안 함",BUTTON|현재 화면 새로고침||1
문서 올리기,document-retry,세계시간 열기,공통 메뉴 후보 / 개별 결과 동일성 미검증,https://devdev-e6t.pages.dev/html/erp/?page=document-retry,/erp/documents/upload/ArrivalNotice_014W.pdf/review,,,,대표 공통 메뉴는 존재하나 이 조작과 동일한 결과인지는 이번 검사에서 확인하지 않음,BUTTON|세계시간 열기||1
문서 올리기,document-retry,더보기,공통 메뉴 후보 / 개별 결과 동일성 미검증,https://devdev-e6t.pages.dev/html/erp/?page=document-retry,/erp/documents/upload/ArrivalNotice_014W.pdf/review,,,,대표 공통 메뉴는 존재하나 이 조작과 동일한 결과인지는 이번 검사에서 확인하지 않음,BUTTON|더보기||1
문서 올리기,document-retry,축소,확대·배치 등 / 이번 클릭 검사 제외,https://devdev-e6t.pages.dev/html/erp/?page=document-retry,/erp/documents/upload/ArrivalNotice_014W.pdf/review,,,,"화면 배치·확대 조작, 별도 업무 결과 화면 아님",BUTTON|축소||1
문서 올리기,document-retry,확대,확대·배치 등 / 이번 클릭 검사 제외,https://devdev-e6t.pages.dev/html/erp/?page=document-retry,/erp/documents/upload/ArrivalNotice_014W.pdf/review,,,,"화면 배치·확대 조작, 별도 업무 결과 화면 아님",BUTTON|확대||1
문서 올리기,document-retry,전체 화면,확대·배치 등 / 이번 클릭 검사 제외,https://devdev-e6t.pages.dev/html/erp/?page=document-retry,/erp/documents/upload/ArrivalNotice_014W.pdf/review,,,,"화면 배치·확대 조작, 별도 업무 결과 화면 아님",BUTTON|전체 화면||1
오늘 할 일,home-action-02,오늘 처리 높이 조절,확대·배치 등 / 이번 클릭 검사 제외,https://devdev-e6t.pages.dev/html/erp/?page=home-action-02,/erp/home,,,,"화면 배치·확대 조작, 별도 업무 결과 화면 아님",BUTTON|오늘 처리 높이 조절||1
오늘 할 일,home-action-02,오늘 처리 크기 조절,확대·배치 등 / 이번 클릭 검사 제외,https://devdev-e6t.pages.dev/html/erp/?page=home-action-02,/erp/home,,,,"화면 배치·확대 조작, 별도 업무 결과 화면 아님",BUTTON|오늘 처리 크기 조절||1
오늘 할 일,home-action-02,문서 높이 조절,확대·배치 등 / 이번 클릭 검사 제외,https://devdev-e6t.pages.dev/html/erp/?page=home-action-02,/erp/home,,,,"화면 배치·확대 조작, 별도 업무 결과 화면 아님",BUTTON|문서 높이 조절||1
오늘 할 일,home-action-02,문서 크기 조절,확대·배치 등 / 이번 클릭 검사 제외,https://devdev-e6t.pages.dev/html/erp/?page=home-action-02,/erp/home,,,,"화면 배치·확대 조작, 별도 업무 결과 화면 아님",BUTTON|문서 크기 조절||1
오늘 할 일,home-action-02,정산·현금 높이 조절,확대·배치 등 / 이번 클릭 검사 제외,https://devdev-e6t.pages.dev/html/erp/?page=home-action-02,/erp/home,,,,"화면 배치·확대 조작, 별도 업무 결과 화면 아님",BUTTON|정산·현금 높이 조절||1
오늘 할 일,home-action-02,정산·현금 크기 조절,확대·배치 등 / 이번 클릭 검사 제외,https://devdev-e6t.pages.dev/html/erp/?page=home-action-02,/erp/home,,,,"화면 배치·확대 조작, 별도 업무 결과 화면 아님",BUTTON|정산·현금 크기 조절||1
오늘 할 일,home-action-02,일정 높이 조절,확대·배치 등 / 이번 클릭 검사 제외,https://devdev-e6t.pages.dev/html/erp/?page=home-action-02,/erp/home,,,,"화면 배치·확대 조작, 별도 업무 결과 화면 아님",BUTTON|일정 높이 조절||1
오늘 할 일,home-action-02,일정 크기 조절,확대·배치 등 / 이번 클릭 검사 제외,https://devdev-e6t.pages.dev/html/erp/?page=home-action-02,/erp/home,,,,"화면 배치·확대 조작, 별도 업무 결과 화면 아님",BUTTON|일정 크기 조절||1
오늘 할 일,home-action-02,선적 높이 조절,확대·배치 등 / 이번 클릭 검사 제외,https://devdev-e6t.pages.dev/html/erp/?page=home-action-02,/erp/home,,,,"화면 배치·확대 조작, 별도 업무 결과 화면 아님",BUTTON|선적 높이 조절||1
오늘 할 일,home-action-02,선적 크기 조절,확대·배치 등 / 이번 클릭 검사 제외,https://devdev-e6t.pages.dev/html/erp/?page=home-action-02,/erp/home,,,,"화면 배치·확대 조작, 별도 업무 결과 화면 아님",BUTTON|선적 크기 조절||1
오늘 할 일,home-action-02,업무 현황 높이 조절,확대·배치 등 / 이번 클릭 검사 제외,https://devdev-e6t.pages.dev/html/erp/?page=home-action-02,/erp/home,,,,"화면 배치·확대 조작, 별도 업무 결과 화면 아님",BUTTON|업무 현황 높이 조절||1
오늘 할 일,home-action-02,업무 현황 크기 조절,확대·배치 등 / 이번 클릭 검사 제외,https://devdev-e6t.pages.dev/html/erp/?page=home-action-02,/erp/home,,,,"화면 배치·확대 조작, 별도 업무 결과 화면 아님",BUTTON|업무 현황 크기 조절||1
오늘 할 일,home-action-03,세계시간 보기,공통 메뉴 후보 / 개별 결과 동일성 미검증,https://devdev-e6t.pages.dev/html/erp/?page=home-action-03,/erp/home,,,,대표 공통 메뉴는 존재하나 이 조작과 동일한 결과인지는 이번 검사에서 확인하지 않음,BUTTON|세계시간 보기||1
오늘 할 일,home-action-03,현재 화면 새로고침,파일·계정·발송 등 / 이번 클릭 검사 제외,https://devdev-e6t.pages.dev/html/erp/?page=home-action-03,/erp/home,,,,"파일·브라우저·계정·발송 조작: 별도 상태 누락 여부와 분리, 실행 안 함",BUTTON|현재 화면 새로고침||1
선적,shipment-review,세계시간 열기,공통 메뉴 후보 / 개별 결과 동일성 미검증,https://devdev-e6t.pages.dev/html/erp/?page=shipment-review,/erp/shipments,,,,대표 공통 메뉴는 존재하나 이 조작과 동일한 결과인지는 이번 검사에서 확인하지 않음,BUTTON|세계시간 열기||1
선적,shipment-review,더보기,공통 메뉴 후보 / 개별 결과 동일성 미검증,https://devdev-e6t.pages.dev/html/erp/?page=shipment-review,/erp/shipments,,,,대표 공통 메뉴는 존재하나 이 조작과 동일한 결과인지는 이번 검사에서 확인하지 않음,BUTTON|더보기||1
거래,deals-action-03,세계시간 보기,공통 메뉴 후보 / 개별 결과 동일성 미검증,https://devdev-e6t.pages.dev/html/erp/?page=deals-action-03,/erp/deals,,,,대표 공통 메뉴는 존재하나 이 조작과 동일한 결과인지는 이번 검사에서 확인하지 않음,BUTTON|세계시간 보기||1
거래,deals-action-03,현재 화면 새로고침,파일·계정·발송 등 / 이번 클릭 검사 제외,https://devdev-e6t.pages.dev/html/erp/?page=deals-action-03,/erp/deals,,,,"파일·브라우저·계정·발송 조작: 별도 상태 누락 여부와 분리, 실행 안 함",BUTTON|현재 화면 새로고침||1
영업 성과,sales-action-03,세계시간 보기,공통 메뉴 후보 / 개별 결과 동일성 미검증,https://devdev-e6t.pages.dev/html/erp/?page=sales-action-03,/erp/sales,,,,대표 공통 메뉴는 존재하나 이 조작과 동일한 결과인지는 이번 검사에서 확인하지 않음,BUTTON|세계시간 보기||1
영업 성과,sales-action-03,현재 화면 새로고침,파일·계정·발송 등 / 이번 클릭 검사 제외,https://devdev-e6t.pages.dev/html/erp/?page=sales-action-03,/erp/sales,,,,"파일·브라우저·계정·발송 조작: 별도 상태 누락 여부와 분리, 실행 안 함",BUTTON|현재 화면 새로고침||1
토큰,tokens-action-02,세계시간 보기,공통 메뉴 후보 / 개별 결과 동일성 미검증,https://devdev-e6t.pages.dev/html/erp/?page=tokens-action-02,/erp/settings/tokens,,,,대표 공통 메뉴는 존재하나 이 조작과 동일한 결과인지는 이번 검사에서 확인하지 않음,BUTTON|세계시간 보기||1
토큰,tokens-action-02,현재 화면 새로고침,파일·계정·발송 등 / 이번 클릭 검사 제외,https://devdev-e6t.pages.dev/html/erp/?page=tokens-action-02,/erp/settings/tokens,,,,"파일·브라우저·계정·발송 조작: 별도 상태 누락 여부와 분리, 실행 안 함",BUTTON|현재 화면 새로고침||1
거래,deal-dl-260704-02,세계시간 열기,공통 메뉴 후보 / 개별 결과 동일성 미검증,https://devdev-e6t.pages.dev/html/erp/?page=deal-dl-260704-02,/erp/deals/DL-260704-02,,,,대표 공통 메뉴는 존재하나 이 조작과 동일한 결과인지는 이번 검사에서 확인하지 않음,BUTTON|세계시간 열기||1
거래,deal-dl-260704-02,더보기,공통 메뉴 후보 / 개별 결과 동일성 미검증,https://devdev-e6t.pages.dev/html/erp/?page=deal-dl-260704-02,/erp/deals/DL-260704-02,,,,대표 공통 메뉴는 존재하나 이 조작과 동일한 결과인지는 이번 검사에서 확인하지 않음,BUTTON|더보기||1
결산 리포트,reports-action-03,세계시간 보기,공통 메뉴 후보 / 개별 결과 동일성 미검증,https://devdev-e6t.pages.dev/html/erp/?page=reports-action-03,/erp/reports,,,,대표 공통 메뉴는 존재하나 이 조작과 동일한 결과인지는 이번 검사에서 확인하지 않음,BUTTON|세계시간 보기||1
결산 리포트,reports-action-03,현재 화면 새로고침,파일·계정·발송 등 / 이번 클릭 검사 제외,https://devdev-e6t.pages.dev/html/erp/?page=reports-action-03,/erp/reports,,,,"파일·브라우저·계정·발송 조작: 별도 상태 누락 여부와 분리, 실행 안 함",BUTTON|현재 화면 새로고침||1
요금제,billing-action-02,세계시간 보기,공통 메뉴 후보 / 개별 결과 동일성 미검증,https://devdev-e6t.pages.dev/html/erp/?page=billing-action-02,/erp/settings/billing,,,,대표 공통 메뉴는 존재하나 이 조작과 동일한 결과인지는 이번 검사에서 확인하지 않음,BUTTON|세계시간 보기||1
요금제,billing-action-02,현재 화면 새로고침,파일·계정·발송 등 / 이번 클릭 검사 제외,https://devdev-e6t.pages.dev/html/erp/?page=billing-action-02,/erp/settings/billing,,,,"파일·브라우저·계정·발송 조작: 별도 상태 누락 여부와 분리, 실행 안 함",BUTTON|현재 화면 새로고침||1
문서 만들기,document-create-pi,세계시간 열기,공통 메뉴 후보 / 개별 결과 동일성 미검증,https://devdev-e6t.pages.dev/html/erp/?page=document-create-pi,/erp/documents/create,,,,대표 공통 메뉴는 존재하나 이 조작과 동일한 결과인지는 이번 검사에서 확인하지 않음,BUTTON|세계시간 열기||1
문서 만들기,document-create-pi,더보기,공통 메뉴 후보 / 개별 결과 동일성 미검증,https://devdev-e6t.pages.dev/html/erp/?page=document-create-pi,/erp/documents/create,,,,대표 공통 메뉴는 존재하나 이 조작과 동일한 결과인지는 이번 검사에서 확인하지 않음,BUTTON|더보기||1
